Item Item DOI,question_text
10.21019/qna-400003,"Suppose a pharmacist weighs out 325 mg of a substance on her class A prescription balance. When she subsequently checked this weight on a more sensitive analytical balance, she found it to be only 312 mg. What was the percentage error in the original weighing? (Answer must be numeric; round the final answer to the nearest WHOLE number.)"
10.21019/qna-400021,Tobramycin (formula weight = 468) has a dissociation factor of 1.0. What is its sodium chloride equivalent?
10.21019/qna-400030,How many grams per liter are needed to prepare 2N (normality) of H2SO4 (MW=98g/mol)? (Answer must be numeric; round the final answer to the nearest WHOLE number.)
10.21019/qna-400074,Which of the following dosage forms may utilize surfactants in their formulations? (Select ALL that apply.)
10.21019/qna-400080,Which of the following statements is correct?
10.21019/qna-400081,Which of the following statements are true? (Select ALL that apply.)
10.21019/qna-400089,Which of the following are ingredients that soften the skin and make it more flexible when applied topically?
10.21019/qna-400092,Which of the following are ingredients that tend to tighten or shrink tissues when applied topically?
10.21019/qna-400107,"Compounded Rx - Camphor 1%, Menthol 1%, Thymol 0.5%, White petrolatum qs ad 30 g, M.Ft. oint. How should the pharmacist prepare this compounded prescription?"
10.21019/qna-400109,"Compounded Rx - Salicylic acid 5%, White petrolatum qs ad 30g. The pharmacist has on hand 2% salicylic acid ointment to use in preparing this prescription. When compounding the prescription, the pharmacist should do which of the following?"
10.21019/qna-400113,Choose the correct statement concerning certification of a laminar flow workbench.
10.21019/qna-400114,What is the purpose of performing bacterial endotoxins testing on compounded sterile preparations?
10.21019/qna-400115,"For a pharmacist performing Category 1, Category 2, and Category 3 sterile compounding, what is the minimum required frequency for demonstrating aseptic manipulation competency using media-fill testing?"
10.21019/qna-400116,"When moving items into a sterile compounding suite, what requirement is necessary?"
10.21019/qna-400117,"When performing sterile compounding in a vertical laminar airflow workbench (LAFW), what consideration is necessary?"
10.21019/qna-400120,"When performing sterile compounding in a horizontal laminar airflow workbench (LAFW), what consideration is necessary?"
10.21019/qna-400121,"When garbing to perform sterile compounding, what consideration is necessary?"
